Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-Aug-2020 at 13:12:11.
NREL 5MW Tower                                                                                     
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.242302E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.1358	 0.000000	 0.000000	 0.007257	 0.047352	 0.000000
 0.1399	 0.000000	 0.000000	 0.007452	 0.047933	 0.000000
 0.1497	 0.000000	 0.000000	 0.007930	 0.049311	 0.000000
 0.1567	 0.000000	 0.000000	 0.008277	 0.050278	 0.000000
 0.1636	 0.000000	 0.000000	 0.008630	 0.051237	 0.000000
 0.1706	 0.000000	 0.000000	 0.008990	 0.052187	 0.000000
 0.1776	 0.000000	 0.000000	 0.009357	 0.053128	 0.000000
 0.1845	 0.000000	 0.000000	 0.009730	 0.054061	 0.000000
 0.1915	 0.000000	 0.000000	 0.010110	 0.054986	 0.000000
 0.1985	 0.000000	 0.000000	 0.010496	 0.055902	 0.000000
 0.2054	 0.000000	 0.000000	 0.010889	 0.056809	 0.000000
 0.2124	 0.000000	 0.000000	 0.011287	 0.057708	 0.000000
 0.2194	 0.000000	 0.000000	 0.011692	 0.058599	 0.000000
 0.2263	 0.000000	 0.000000	 0.012103	 0.059481	 0.000000
 0.2333	 0.000000	 0.000000	 0.012521	 0.060355	 0.000000
 0.2403	 0.000000	 0.000000	 0.012944	 0.061221	 0.000000
 0.2472	 0.000000	 0.000000	 0.013373	 0.062078	 0.000000
 0.2507	 0.000000	 0.000000	 0.013590	 0.062503	 0.000000
 0.3203	 0.000000	 0.000000	 0.018575	 0.080358	 0.000000
 0.3797	 0.000000	 0.000000	 0.023817	 0.095960	 0.000000
 0.4248	 0.000000	 0.000000	 0.028417	 0.107968	 0.000000
 0.4596	 0.000000	 0.000000	 0.032341	 0.117322	 0.000000
 0.4866	 0.000000	 0.000000	 0.035611	 0.124611	 0.000000
 0.5137	 0.000000	 0.000000	 0.039079	 0.131923	 0.000000
 0.5407	 0.000000	 0.000000	 0.042743	 0.139220	 0.000000
 0.5677	 0.000000	 0.000000	 0.046604	 0.146507	 0.000000
 0.5947	 0.000000	 0.000000	 0.050661	 0.153756	 0.000000
 0.6217	 0.000000	 0.000000	 0.054913	 0.160941	 0.000000
 0.6487	 0.000000	 0.000000	 0.059359	 0.168060	 0.000000
 0.6758	 0.000000	 0.000000	 0.063996	 0.175060	 0.000000
 0.7028	 0.000000	 0.000000	 0.068820	 0.181922	 0.000000
 0.7298	 0.000000	 0.000000	 0.073827	 0.188623	 0.000000
 0.7568	 0.000000	 0.000000	 0.079013	 0.195099	 0.000000
 0.7839	 0.000000	 0.000000	 0.084370	 0.201327	 0.000000
 0.8109	 0.000000	 0.000000	 0.089892	 0.207250	 0.000000
 0.8379	 0.000000	 0.000000	 0.095568	 0.212805	 0.000000
 0.8649	 0.000000	 0.000000	 0.101388	 0.217946	 0.000000
 0.8919	 0.000000	 0.000000	 0.107341	 0.222578	 0.000000
 0.9189	 0.000000	 0.000000	 0.113412	 0.226631	 0.000000
 0.9460	 0.000000	 0.000000	 0.119583	 0.230017	 0.000000
 0.9730	 0.000000	 0.000000	 0.125836	 0.232612	 0.000000
 1.0000	 0.000000	 0.000000	 0.132146	 0.234306	 0.000000


 -------- Mode No.   3  (freq = 0.132077E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000950	 0.010861	 0.000000	 0.000000	 0.000000
 0.0035	 0.000988	 0.011060	 0.000000	 0.000000	 0.000230
 0.0104	 0.001066	 0.011449	 0.000000	 0.000000	 0.000690
 0.0174	 0.001147	 0.011829	 0.000000	 0.000000	 0.001150
 0.0244	 0.001231	 0.012199	 0.000000	 0.000000	 0.001610
